104.;06/11/100/0000311/2017;NMK;2017-02-07;2017-02-07;;100/00146/17/1/210;2017-02-07;0.00;;13.43;0.00;13.43
105.;06/11/100/0000311/2017;WSV;2017-02-07;2017-02-07;40944;243/00011/17/X/210;2017-02-28;134.40;;0.00;0.00;134.40
106.;06/11/100/0000312/2017;NMK;2017-02-07;2017-02-07;;100/00149/17/1/210;2017-02-07;0.00;;72.33;0.00;72.33
107.;06/11/100/0000312/2017;VEC;2017-02-07;2017-02-07;40995;243/00011/17/X/210;2017-02-28;604.80;;4973.46;0.00;5578.26
108.;06/11/100/0000313/2017;PMK;2017-02-07;2017-02-07;;100/00148/17/1/210;2017-02-07;882.00;;447.21;0.00;1329.21
109.;06/11/100/0000314/2017;DNS;2017-02-07;2017-02-27;;155/00061/17/A1/210;2017-02-27;168.00;;1872.64;0.00;2040.64
110.;06/11/100/0000314/2017;PMD;2017-02-07;2017-02-27;;155/00061/17/A1/210;2017-02-27;100.80;;14.58;0.00;115.38
111.;06/11/100/0000315/2017;WSV;2017-02-07;2017-02-07;40968;243/00011/17/X/210;2017-02-28;134.40;;0.00;0.00;134.40
112.;06/11/100/0000316/2017;DNS;2017-02-07;2017-02-27;;155/00059/17/A1/210;2017-02-27;168.00;;1872.64;0.00;2040.64
113.;06/11/100/0000316/2017;PMD;2017-02-07;2017-02-27;;155/00059/17/A1/210;2017-02-27;100.80;;7.29;0.00;108.09
114.;06/11/100/0000317/2017;NMK;2017-02-07;2017-02-07;;100/00147/17/1/210;2017-02-07;99.75;;182.90;0.00;282.65
115.;06/11/100/0000318/2017;NMK;2017-02-07;2017-02-07;;100/00150/17/1/210;2017-02-07;99.75;;89.47;0.00;189.22
116.;06/11/100/0000319/2017;PMK;2017-02-08;2017-02-08;;100/00154/17/1/210;2017-02-08;1102.50;;1675.05;0.00;2777.55
117.;06/11/100/0000320/2017;PMK;2017-02-08;2017-02-08;;100/00153/17/1/210;2017-02-08;943.95;;654.75;0.00;1598.70
118.;06/11/100/0000321/2017;PMF;2017-02-08;2017-02-08;;165/00001/17/A1/210;2017-02-08;336.00;;103.71;0.00;439.71
119.;06/11/100/0000321/2017;VEC;2017-02-08;2017-02-08;41044;243/00011/17/X/210;2017-02-28;117.60;;0.00;0.00;117.60
120.;06/11/100/0000321/2017;WSV;2017-02-08;2017-02-08;41043;243/00011/17/X/210;2017-02-28;134.40;;0.00;0.00;134.40
121.;06/11/100/0000322/2017;NMK;2017-02-08;2017-02-09;;100/00156/17/1/210;2017-02-09;581.88;;102.83;0.00;684.71
122.;06/11/100/0000322/2017;WSV;2017-02-08;2017-02-09;41100;243/00011/17/X/210;2017-02-28;957.60;;400.89;0.00;1358.49
123.;06/11/100/0000323/2017;PMK;2017-02-08;2017-02-08;;100/00152/17/1/210;2017-02-08;731.50;;290.07;0.00;1021.57
124.;06/11/100/0000324/2017;PMK;2017-02-08;2017-02-08;;100/00155/17/1/210;2017-02-08;1015.00;;716.49;0.00;1731.49
125.;06/11/100/0000325/2017;WSV;2017-02-08;2017-02-08;41049;243/00011/17/X/210;2017-02-28;134.40;;0.00;0.00;134.40
126.;06/11/100/0000326/2017;WSV;2017-02-08;2017-02-09;41120;243/00011/17/X/210;2017-02-28;319.20;;353.57;0.00;672.77
127.;06/11/100/0000327/2017;NMK;2017-02-09;2017-02-09;;100/00162/17/1/210;2017-02-09;0.00;;0.00;79.67;79.67
128.;06/11/100/0000327/2017;PMK;2017-02-09;2017-02-09;;100/00162/17/1/210;2017-02-09;665.00;;261.42;0.00;926.42
129.;06/11/100/0000328/2017;NMK;2017-02-09;2017-02-09;;100/00159/17/1/210;2017-02-09;731.50;;269.87;0.00;1001.37
130.;06/11/100/0000328/2017;SKP;2017-02-09;2017-02-09;;100/00159/17/1/210;2017-02-09;0.00;;0.00;79.67;79.67
131.;06/11/100/0000329/2017;PMK;2017-02-09;2017-02-09;;100/00157/17/1/210;2017-02-09;665.00;;259.14;0.00;924.14
132.;06/11/100/0000330/2017;NMK;2017-02-09;2017-02-09;;100/00158/17/1/210;2017-02-09;175.00;;0.00;0.00;175.00
133.;06/11/100/0000332/2017;PMK;2017-02-09;2017-02-27;;100/00209/17/1/210;2017-02-27;375.00;;248.30;0.00;623.30
134.;06/11/100/0000332/2017;WSV;2017-02-09;2017-02-25;41661;243/00011/17/X/210;2017-02-28;50.40;;0.00;0.00;50.40
135.;06/11/100/0000333/2017;KDP;2017-02-09;2017-02-09;;144/00014/17/A1/210;2017-02-09;336.00;;143.32;0.00;479.32
136.;06/11/100/0000333/2017;NMK;2017-02-09;2017-02-09;;100/00161/17/1/210;2017-02-09;0.00;;205.05;0.00;205.05
137.;06/11/100/0000333/2017;WSV;2017-02-09;2017-02-09;41123;243/00011/17/X/210;2017-02-28;134.40;;0.00;0.00;134.40
138.;06/11/100/0000334/2017;PMK;2017-02-09;2017-02-28;;100/00217/17/1/210;2017-02-28;350.00;;310.21;0.00;660.21
139.;06/11/100/0000334/2017;WSV;2017-02-09;2017-02-25;41660;243/00011/17/X/210;2017-02-28;134.40;;0.00;0.00;134.40
140.;06/11/100/0000336/2017;PMD;2017-02-09;2017-02-13;;155/00049/17/A1/210;2017-02-13;100.80;;7.29;0.00;108.09
141.;06/11/100/0000337/2017;DNS;2017-02-09;2017-02-27;;155/00060/17/A1/210;2017-02-27;168.00;;1872.64;0.00;2040.64
142.;06/11/100/0000337/2017;PMD;2017-02-09;2017-02-27;;155/00060/17/A1/210;2017-02-27;100.80;;14.58;0.00;115.38
143.;06/11/100/0000338/2017;NMK;2017-02-09;2017-02-09;;100/00160/17/1/210;2017-02-09;28.00;;38.31;0.00;66.31
144.;06/11/100/0000339/2017;WSV;2017-02-09;2017-02-09;41135;243/00011/17/X/210;2017-02-28;134.40;;0.00;0.00;134.40
145.;06/11/100/0000340/2017;PMD;2017-02-09;2017-02-16;;155/00052/17/A1/210;2017-02-16;100.80;;14.58;0.00;115.38
146.;06/11/100/0000341/2017;DEP;2017-02-09;2017-02-09;;100/00163/17/1/210;2017-02-09;245.00;;1886.07;0.00;2131.07
147.;06/11/100/0000341/2017;WSV;2017-02-09;2017-02-10;41157;243/00011/17/X/210;2017-02-28;134.40;;0.00;0.00;134.40
148.;06/11/100/0000342/2017;NMK;2017-02-10;2017-02-10;;100/00165/17/1/210;2017-02-10;52.50;;261.37;178.87;492.74
149.;06/11/100/0000342/2017;WSV;2017-02-10;2017-02-10;41152;243/00011/17/X/210;2017-02-28;957.60;;400.89;0.00;1358.49
150.;06/11/100/0000343/2017;NMK;2017-02-10;2017-02-10;;100/00164/17/1/210;2017-02-10;141.75;;0.00;0.00;141.75
151.;06/11/100/0000343/2017;NMK;2017-02-10;2017-02-22;;100/00192/17/1/210;2017-02-22;0.00;;0.00;178.87;178.87
152.;06/11/100/0000344/2017;NMK;2017-02-10;2017-02-10;;100/00166/17/1/210;2017-02-10;498.75;;1596.21;0.00;2094.96
153.;06/11/100/0000344/2017;WSV;2017-02-10;2017-02-10;41171;243/00011/17/X/210;2017-02-28;50.40;;27.15;0.00;77.55
154.;06/11/100/0000345/2017;PMK;2017-02-10;2017-02-10;;100/00168/17/1/210;2017-02-10;1015.00;;195.94;0.00;1210.94
155.;06/11/100/0000345/2017;WSV;2017-02-10;2017-02-10;41173;243/00011/17/X/210;2017-02-28;134.40;;0.00;0.00;134.40
156.;06/11/100/0000346/2017;DNS;2017-02-10;2017-02-22;;155/00053/17/A1/210;2017-02-22;168.00;;1872.64;0.00;2040.64
157.;06/11/100/0000346/2017;PMD;2017-02-10;2017-02-22;;155/00053/17/A1/210;2017-02-22;100.80;;0.00;0.00;100.80
158.;06/11/100/0000347/2017;DNS;2017-02-10;2017-02-27;;155/00062/17/A1/210;2017-02-27;168.00;;1872.64;0.00;2040.64
159.;06/11/100/0000347/2017;PMD;2017-02-10;2017-02-27;;155/00062/17/A1/210;2017-02-27;100.80;;7.29;0.00;108.09
160.;06/11/100/0000348/2017;PMP;2017-02-10;2017-02-10;;100/00167/17/1/210;2017-02-10;872.90;;252.97;0.00;1125.87
161.;06/11/100/0000349/2017;PMK;2017-02-10;2017-02-10;;100/00169/17/1/210;2017-02-10;864.50;;241.57;0.00;1106.07
162.;06/11/100/0000349/2017;WSV;2017-02-10;2017-02-10;41180;243/00011/17/X/210;2017-02-28;319.20;;361.88;0.00;681.08
163.;06/11/100/0000351/2017;PMK;2017-02-11;2017-02-11;;100/00170/17/1/210;2017-02-11;911.40;;191.19;0.00;1102.59
164.;06/11/100/0000351/2017;WSV;2017-02-11;2017-02-11;41184;243/00011/17/X/210;2017-02-28;50.40;;0.00;0.00;50.40
165.;06/11/100/0000352/2017;WSV;2017-02-11;2017-02-11;41191;243/00011/17/X/210;2017-02-28;957.60;;391.68;0.00;1349.28
166.;06/11/100/0000353/2017;VEC;2017-02-11;2017-02-16;41387;243/00011/17/X/210;2017-02-28;67.20;;20.04;0.00;87.24
167.;06/11/100/0000355/2017;PMD;2017-02-13;2017-02-27;;155/00058/17/A1/210;2017-02-27;100.80;;14.58;0.00;115.38
