OTH-405 Zestawienie dokumentów magazynowych za okres od 2017-02-01 do 2017-02-28Oddzia³ (06) 210-LEXUS WARSZAWA-PULAWSKA (210), Dzia³ (21) 210 MAGAZYN LEXUSPodsumowania po dokumentach w³asnychWybrano dokumenty z fakturami/specyfikacjami sprzeda¿y i bez faktur/specyfikacji sprzeda¿y;;;;;;;;
Symb.dok.;Nr dokumentu;z dnia;Komórka organizacyjnaKontrahent;Nr dokumentuzakupowego/sprzeda¿y/zlecenia;;Iloœæpozycji;Wart. wgcen zak.;Wart. wgcen sprz.
OTH-405 Zestawienie dokumentów magazynowych za okres od 2017-02-01 do 2017-02-28Oddzia³ (06) 210-LEXUS WARSZAWA-PULAWSKA (210), Dzia³ (21) 210 MAGAZYN LEXUSPodsumowania po dokumentach w³asnychWybrano dokumenty z fakturami/specyfikacjami sprzeda¿y i bez faktur/specyfikacji sprzeda¿y;;;;;;;;
Symb.dok.;Nr dokumentu;z dnia;Komórka organizacyjnaKontrahent;Nr dokumentuzakupowego/sprzeda¿y/zlecenia;;Iloœæpozycji;Wart. wgcen zak.;Wart. wgcen sprz.
RwZ;06/21/200/0000488/2017;2017-02-13;100-Serwis mechaniczny;Zl 06/11/100/0000361/2017;;2;733.44;1146.00
RwZ;06/21/200/0000489/2017;2017-02-13;100-Serwis mechaniczny;Zl 06/11/100/0000358/2017;;1;27.64;37.05
RwZ;06/21/200/0000490/2017;2017-02-13;100-Serwis mechaniczny;Zl 06/11/100/0000354/2017;;1;7.29;7.49
RwZ;06/21/200/0000491/2017;2017-02-13;100-Serwis mechaniczny;Zl 06/11/100/0000360/2017;;11;512.16;874.57
RwZ;06/21/200/0000492/2017;2017-02-13;100-Serwis mechaniczny;Zl 06/11/100/0000371/2017;;2;164.32;220.14
RwZ;06/21/200/0000493/2017;2017-02-13;100-Serwis mechaniczny;Zl 06/11/100/0000360/2017;;1;18.20;31.76
RwZ;06/21/200/0000494/2017;2017-02-13;100-Serwis mechaniczny;Zl 06/11/100/0000358/2017;;1;4.24;19.40
RwZ;06/21/200/0000495/2017;2017-02-13;100-Serwis mechaniczny;Zl 06/11/100/0000360/2017;;1;9.10;15.88
RwZ;06/21/200/0000496/2017;2017-02-14;100-Serwis mechaniczny;Zl 06/11/100/0000366/2017;;1;14.58;14.97
RwZ;06/21/200/0000497/2017;2017-02-14;100-Serwis mechaniczny;Zl 06/11/100/0000367/2017;;1;7.29;7.49
RwZ;06/21/200/0000498/2017;2017-02-14;100-Serwis mechaniczny;Zl 06/11/100/0000361/2017;;3;1735.80;4387.48
RwZ;06/21/200/0000499/2017;2017-02-14;100-Serwis mechaniczny;Zl 06/11/100/0000355/2017;;1;14.58;14.97
RwZ;06/21/200/0000500/2017;2017-02-14;100-Serwis mechaniczny;Zl 06/11/100/0000376/2017;;2;74.63;128.67
RwZ;06/21/200/0000501/2017;2017-02-14;100-Serwis mechaniczny;Zl 06/11/100/0000360/2017;;1;25.31;43.64
RwZ;06/21/200/0000502/2017;2017-02-14;100-Serwis mechaniczny;Zl 06/11/100/0000362/2017;;1;14.58;14.97
RwZ;06/21/200/0000503/2017;2017-02-14;100-Serwis mechaniczny;Zl 06/11/100/0000363/2017;;1;7.29;7.49
RwZ;06/21/200/0000504/2017;2017-02-14;100-Serwis mechaniczny;Zl 06/11/100/0000360/2017;;1;34.71;57.85
RwZ;06/21/200/0000505/2017;2017-02-14;100-Serwis mechaniczny;Zl 06/11/100/0000375/2017;;7;258.17;716.58
RwZ;06/21/200/0000506/2017;2017-02-14;100-Serwis mechaniczny;Zl 06/11/100/0000377/2017;;7;263.10;596.69
RwZ;06/21/200/0000507/2017;2017-02-14;100-Serwis mechaniczny;Zl 06/11/100/0000374/2017;;1;121.90;163.56
RwZ;06/21/200/0000508/2017;2017-02-14;100-Serwis mechaniczny;Zl 06/11/100/0000361/2017;;1;1601.04;3812.00
RwZ;06/21/200/0000509/2017;2017-02-14;100-Serwis mechaniczny;Zl 06/11/100/0000378/2017;;2;353.57;415.96
RwZ;06/21/200/0000510/2017;2017-02-14;100-Serwis mechaniczny;Zl 06/11/100/0000364/2017;;1;14.58;14.97
